timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531558115950,0,Debug Sampler 3-2,200,OK,线程组 3 1-2,text,true,,202,0,18,18,0,0,0
1531558115960,1,Debug Sampler 3-3,200,OK,线程组 3 1-8,text,true,,203,0,18,18,0,0,0
1531558116001,0,Debug Sampler 3-2,200,OK,线程组 3 1-13,text,true,,202,0,18,18,0,0,0
1531558116023,0,Debug Sampler 3-3,200,OK,线程组 3 1-1,text,true,,202,0,19,19,0,0,0
1531558116024,0,Debug Sampler 3-1,200,OK,线程组 3 1-7,text,true,,203,0,19,19,0,0,0
1531558116049,1,Debug Sampler 3-3,200,OK,线程组 3 1-12,text,true,,203,0,19,19,0,0,0
1531558116061,0,Debug Sampler 3-2,200,OK,线程组 3 1-6,text,true,,203,0,19,19,0,0,0
1531558116062,1,Debug Sampler 3-1,200,OK,线程组 3 1-18,text,true,,202,0,19,19,0,0,0
1531558116101,0,Debug Sampler 3-1,200,OK,线程组 3 1-11,text,true,,203,0,19,19,0,0,0
1531558116111,0,Debug Sampler 3-3,200,OK,线程组 3 1-5,text,true,,202,0,19,19,0,0,0
1531558116113,0,Debug Sampler 3-2,200,OK,线程组 3 1-17,text,true,,203,0,19,19,0,0,0
1531558116145,0,Debug Sampler 3-3,200,OK,线程组 3 1-16,text,true,,203,0,19,19,0,0,0
1531558116150,0,Debug Sampler 3-1,200,OK,线程组 3 1-4,text,true,,202,0,19,19,0,0,0
1531558116163,0,Debug Sampler 3-2,200,OK,线程组 3 1-10,text,true,,201,0,19,19,0,0,0
1531558116192,0,Debug Sampler 3-2,200,OK,线程组 3 1-3,text,true,,202,0,19,19,0,0,0
1531558116198,0,Debug Sampler 3-1,200,OK,线程组 3 1-15,text,true,,202,0,19,19,0,0,0
1531558116211,0,Debug Sampler 3-3,200,OK,线程组 3 1-9,text,true,,203,0,19,19,0,0,0
1531558116246,0,Debug Sampler 3-2,200,OK,线程组 3 1-14,text,true,,203,0,19,19,0,0,0
1531558116252,2,Debug Sampler 3-3,200,OK,线程组 3 1-2,text,true,,203,0,19,19,0,0,0
